Fecha,ID region,Region,Mercado,Subsector,Producto,Variedad / Tipo,Calidad,Unidad de comercializacion,Origen,Volumen,Precio minimo,Precio maximo,Precio promedio
2024-01-02,13,Región Metropolitana de Santiago,Vega Central Mapocho de Santiago,Hortalizas y tubérculos,Albahaca,Sin especificar,Primera,$/docena de matas,Provincia de Chacabuco,70,"6000,0000","6000,0000","6000,0000"
2024-01-02,13,Región Metropolitana de Santiago,Mercado Mayorista Lo Valledor de Santiago,Hortalizas y tubérculos,Albahaca,Sin especificar,Primera,$/docena de matas,Región Metropolitana,150,"6000,0000","6000,0000","6000,0000"
2024-01-02,9,Región de La Araucanía,Vega Modelo de Temuco,Hortalizas y tubérculos,Albahaca,Sin especificar,Primera,$/paquete,Región del Maule,80,"7000,0000","7000,0000","7000,0000"
2024-01-02,13,Región Metropolitana de Santiago,Mercado Mayorista Lo Valledor de Santiago,Hortalizas y tubérculos,Albahaca,Sin especificar,Segunda,$/docena de matas,Región Metropolitana,100,"5000,0000","5000,0000","5000,0000"
2024-01-02,9,Región de La Araucanía,Vega Modelo de Temuco,Hortalizas y tubérculos,Alcachofa,Madrigal,Primera,$/caja 40 unidades,Región del Maule,100,"12000,0000","12000,0000","12000,0000"
2024-01-02,5,Región de Valparaíso,Femacal de La Calera,Hortalizas y tubérculos,Apio,Americana (o),Primera,$/docena de matas,Provincia de Limarí,60,"16000,0000","16000,0000","16000,0000"
2024-01-02,9,Región de La Araucanía,Vega Modelo de Temuco,Hortalizas y tubérculos,Apio,Americana (o),Primera,$/caja 8 unidades,Provincia del Elquí,100,"10000,0000","10000,0000","10000,0000"
2024-01-02,8,Región del Biobío,Vega Monumental Concepción,Hortalizas y tubérculos,Apio,Americana (o),Primera,$/docena de matas,Región Metropolitana,120,"15000,0000","15000,0000","15000,0000"
2024-01-02,13,Región Metropolitana de Santiago,Vega Central Mapocho de Santiago,Hortalizas y tubérculos,Berenjena,Sin especificar,Primera,$/caja 50 unidades,Región de Arica y Parinacota,160,"9000,0000","10000,0000","9500,0000"
2024-01-02,13,Región Metropolitana de Santiago,Mercado Mayorista Lo Valledor de Santiago,Hortalizas y tubérculos,Berenjena,Sin especificar,Primera,$/caja 50 unidades,Región de Arica y Parinacota,230,"10000,0000","10000,0000","10000,0000"
2024-01-02,5,Región de Valparaíso,Femacal de La Calera,Hortalizas y tubérculos,Berenjena,Sin especificar,Primera,$/caja 60 unidades,Región de Arica y Parinacota,40,"9000,0000","9000,0000","9000,0000"
2024-01-02,5,Región de Valparaíso,Femacal de La Calera,Hortalizas y tubérculos,Betarraga,Sin especificar,Primera,$/paquete 4 unidades,Provincia de Quillota,2800,"550,0000","600,0000","578,5714"
2024-01-02,4,Región de Coquimbo,Terminal La Palmera de La Serena,Hortalizas y tubérculos,Betarraga,Sin especificar,Primera,$/paquete 3 unidades,Provincia del Elquí,1100,"500,0000","600,0000","550,0000"
2024-01-02,13,Región Metropolitana de Santiago,Vega Central Mapocho de Santiago,Hortalizas y tubérculos,Betarraga,Sin especificar,Primera,$/unidad,Región Metropolitana,3050,"100,0000","100,0000","100,0000"
2024-01-02,13,Región Metropolitana de Santiago,Mercado Mayorista Lo Valledor de Santiago,Hortalizas y tubérculos,Betarraga,Sin especificar,Primera,$/unidad,Región Metropolitana,15000,"100,0000","100,0000","100,0000"
2024-01-02,8,Región del Biobío,Vega Monumental Concepción,Hortalizas y tubérculos,Betarraga,Sin especificar,Primera,$/paquete 5 unidades,Región Metropolitana,200,"650,0000","650,0000","650,0000"
2024-01-02,7,Región del Maule,Macroferia Regional de Talca,Hortalizas y tubérculos,Betarraga,Sin especificar,Primera,$/paquete 5 unidades,Región del Maule,3000,"700,0000","700,0000","700,0000"
2024-01-02,16,Región de Ñuble,Terminal Hortofrutícola Agro Chillán,Hortalizas y tubérculos,Betarraga,Sin especificar,Primera,$/paquete 5 unidades,Provincia de Diguillín,500,"900,0000","900,0000","900,0000"
2024-01-02,5,Región de Valparaíso,Femacal de La Calera,Hortalizas y tubérculos,Betarraga,Sin especificar,Segunda,$/paquete 4 unidades,Provincia de Quillota,1600,"450,0000","450,0000","450,0000"
2024-01-02,13,Región Metropolitana de Santiago,Vega Central Mapocho de Santiago,Hortalizas y tubérculos,Betarraga,Sin especificar,Segunda,$/unidad,Región Metropolitana,7350,"80,0000","90,0000","84,1496"
2024-01-02,13,Región Metropolitana de Santiago,Mercado Mayorista Lo Valledor de Santiago,Hortalizas y tubérculos,Betarraga,Sin especificar,Segunda,$/unidad,Región Metropolitana,9000,"80,0000","80,0000","80,0000"
2024-01-02,16,Región de Ñuble,Terminal Hortofrutícola Agro Chillán,Hortalizas y tubérculos,Betarraga,Sin especificar,Segunda,$/paquete 5 unidades,Provincia de Diguillín,500,"700,0000","700,0000","700,0000"
2024-01-02,5,Región de Valparaíso,Femacal de La Calera,Hortalizas y tubérculos,Brócoli,Sin especificar,Primera,$/unidad,Provincia de Quillota,850,"1000,0000","1000,0000","1000,0000"
2024-01-02,4,Región de Coquimbo,Terminal La Palmera de La Serena,Hortalizas y tubérculos,Brócoli,Sin especificar,Primera,$/unidad,Provincia del Elquí,1500,"800,0000","900,0000","850,0000"
2024-01-02,13,Región Metropolitana de Santiago,Mercado Mayorista Lo Valledor de Santiago,Hortalizas y tubérculos,Brócoli,Sin especificar,Primera,$/unidad,Región Metropolitana,8000,"1000,0000","1000,0000","1000,0000"
2024-01-02,8,Región del Biobío,Vega Monumental Concepción,Hortalizas y tubérculos,Brócoli,Sin especificar,Primera,$/unidad,Región Metropolitana,500,"1000,0000","1000,0000","1000,0000"
2024-01-02,7,Región del Maule,Macroferia Regional de Talca,Hortalizas y tubérculos,Brócoli,Sin especificar,Primera,$/unidad,Región del Maule,5000,"800,0000","800,0000","800,0000"
2024-01-02,5,Región de Valparaíso,Femacal de La Calera,Hortalizas y tubérculos,Brócoli,Sin especificar,Segunda,$/unidad,Provincia de Quillota,600,"750,0000","750,0000","750,0000"
2024-01-02,13,Región Metropolitana de Santiago,Mercado Mayorista Lo Valledor de Santiago,Hortalizas y tubérculos,Brócoli,Sin especificar,Segunda,$/unidad,Región Metropolitana,2700,"800,0000","800,0000","800,0000"
2024-01-02,8,Región del Biobío,Vega Monumental Concepción,Hortalizas y tubérculos,Brócoli,Sin especificar,Segunda,$/unidad,Región Metropolitana,500,"800,0000","800,0000","800,0000"
2024-01-02,15,Región de Arica y Parinacota,Agrícola del Norte S.A. de Arica,Hortalizas y tubérculos,Brócoli,Sin especificar,Segunda,$/unidad,Región de Arica y Parinacota,1000,"400,0000","500,0000","450,0000"
2024-01-02,15,Región de Arica y Parinacota,Agrícola del Norte S.A. de Arica,Hortalizas y tubérculos,Brócoli,Sin especificar,Tercera,$/unidad,Región de Arica y Parinacota,1200,"300,0000","400,0000","350,0000"
2024-01-02,16,Región de Ñuble,Terminal Hortofrutícola Agro Chillán,Hortalizas y tubérculos,Cebolla,Sin especificar,1a nueva(o),$/paquete 10 unidades (volumen en unidades),Región de O'Higgins,10000,"2500,0000","2500,0000","2500,0000"
2024-01-02,5,Región de Valparaíso,Femacal de La Calera,Hortalizas y tubérculos,Cebolla,Sin especificar,1a nueva(o),$/paquete 20 unidades (volumen en unidades),Provincia de Quillota,15000,"3000,0000","3000,0000","3000,0000"
2024-01-02,13,Región Metropolitana de Santiago,Mercado Mayorista Lo Valledor de Santiago,Hortalizas y tubérculos,Cebolla,Sin especificar,1a nueva(o),$/paquete 20 unidades (volumen en unidades),Región Metropolitana,55000,"3600,0000","3600,0000","3600,0000"
2024-01-02,7,Región del Maule,Macroferia Regional de Talca,Hortalizas y tubérculos,Cebolla,Sin especificar,1a nueva(o),$/paquete 10 unidades (volumen en unidades),Región del Maule,50000,"2200,0000","2200,0000","2200,0000"
2024-01-02,16,Región de Ñuble,Terminal Hortofrutícola Agro Chillán,Hortalizas y tubérculos,Cebolla,Sin especificar,2a nueva(o),$/paquete 10 unidades (volumen en unidades),Región de O'Higgins,10000,"2000,0000","2000,0000","2000,0000"
